iter	Passed	Remaining
0	278	278323
1	280	139803
2	281	93693
3	283	70546
4	284	56649
5	285	47348
6	286	40697
7	288	35756
8	289	31925
9	293	29042
10	295	26548
11	296	24446
12	298	22645
13	300	21147
14	302	19835
15	303	18656
16	304	17604
17	309	16886
18	310	16057
19	312	15303
20	313	14615
21	314	13990
22	316	13438
23	317	12923
24	318	12436
25	323	12103
26	324	11687
27	325	11303
28	327	10970
29	330	10675
30	331	10374
31	333	10099
32	339	9960
33	341	9694
34	342	9452
35	345	9251
36	348	9063
37	356	9017
38	358	8836
39	360	8653
40	369	8650
41	373	8529
42	375	8365
43	377	8210
44	382	8113
45	383	7955
46	384	7803
47	386	7670
48	388	7531
49	389	7394
50	390	7263
51	391	7136
52	392	7020
53	396	6947
54	397	6833
55	398	6725
56	400	6620
57	401	6518
58	402	6426
59	404	6331
60	405	6239
61	406	6151
62	410	6102
63	411	6024
64	413	5945
65	415	5874
66	417	5808
67	420	5760
68	423	5707
69	429	5708
70	432	5652
71	433	5587
72	435	5525
73	437	5471
74	442	5451
75	444	5405
76	446	5348
77	447	5293
78	449	5235
79	451	5194
80	455	5163
81	458	5129
82	459	5072
83	460	5026
84	462	4980
85	464	4939
86	466	4894
87	467	4846
88	471	4823
89	472	4781
90	474	4739
91	475	4694
92	476	4650
93	478	4607
94	480	4574
95	482	4540
96	485	4515
97	488	4492
98	489	4455
99	492	4431
100	496	4420
101	503	4429
102	505	4400
103	506	4365
104	508	4330
105	509	4301
106	511	4267
107	513	4238
108	517	4233
109	519	4206
110	522	4182
111	524	4158
112	526	4134
113	527	4103
114	529	4073
115	531	4047
116	532	4016
117	533	3987
118	535	3962
119	536	3935
120	537	3908
121	538	3878
122	540	3851
123	543	3841
124	546	3822
125	547	3798
126	549	3779
127	551	3757
128	554	3741
129	556	3722
130	560	3718
131	562	3701
132	566	3690
133	569	3680
134	571	3663
135	574	3647
136	575	3626
137	578	3610
138	579	3588
139	580	3567
140	581	3545
141	582	3521
142	584	3503
143	587	3493
144	589	3473
145	590	3453
146	591	3434
147	593	3415
148	595	3399
149	596	3381
150	598	3366
151	602	3363
152	604	3345
153	608	3341
154	609	3324
155	612	3312
156	613	3295
157	620	3305
158	621	3288
159	623	3271
160	623	3250
161	625	3233
162	626	3215
163	628	3201
164	629	3184
165	633	3181
166	635	3168
167	636	3152
168	637	3136
169	639	3120
170	640	3104
171	641	3088
172	642	3073
173	644	3057
174	647	3054
175	650	3044
176	651	3029
177	653	3016
178	654	3001
179	656	2990
180	658	2977
181	659	2963
182	664	2968
183	666	2954
184	667	2940
185	668	2926
186	670	2914
187	671	2900
188	672	2887
189	674	2874
190	678	2872
191	679	2859
192	680	2846
193	681	2833
194	684	2825
195	685	2813
196	687	2801
197	688	2788
198	689	2776
199	691	2765
200	692	2754
201	694	2742
202	695	2731
203	697	2720
204	698	2708
205	701	2703
206	706	2706
207	707	2695
208	709	2683
209	711	2674
210	712	2664
211	713	2652
212	714	2641
213	716	2630
214	720	2631
215	721	2620
216	723	2609
217	725	2602
218	727	2595
219	729	2585
220	730	2576
221	737	2585
222	740	2580
223	742	2570
224	744	2563
225	745	2554
226	750	2555
227	752	2547
228	753	2537
229	755	2527
230	756	2518
231	757	2509
232	759	2500
233	761	2492
234	765	2492
235	767	2483
236	768	2475
237	770	2467
238	772	2458
239	773	2449
240	774	2440
241	777	2434
242	779	2427
243	781	2420
244	783	2414
245	785	2407
246	786	2398
247	789	2393
